id,date,username,text,score,polarity
31884961-a19d-4065-9838-bd02edc7c0d1,2022-11-28 02:05:07,Bahrul Ulum Fiadana,"Sebaiknya jangan hanya fitur masuk menggunakan nomor SIM saja tetapi melalui akun juga, untuk pemulihan akun yang sudah terkait nomor lama atau nomor hilang sangatlah susah, memang aplikasi bagus tapi ada beberapa kekurangan terutama di pemulihan akun agak susah, padahal aplikasinya cukup membantu untuk pesan berbagai jenis kebutuhan, di next update tolong tambahin fitur masuk Aplikasi GO-JEK menggunakan akun dan tolong cara pemulihan akunnya dipermudah. Terimakasih...",1,-1
ceaa7289-ffe0-4626-bc27-cdc3d915e4ae,2022-11-12 21:49:20,Lucky Putriana,"saya tau gojek berusaha memberikan pengalaman perjalanan yang nyaman,tapi tolong masih banyak rute yg lebih dekat dan lebih mudah dijangkau.. jangan sistem mengambil rute yang lebih jauh,otomatis harga lebih mahal dari rute biasanya.. contoh ada jalan yang macet,tentu masih ada jalan lain yg jaraknya sama jadi harganya tidak menguras dompet. atau tolong tambahkan fitur untuk pengguna memilih jalur,jangan otomatis sistem yang memilih jalur,berikan juga kepada pelanggan opsi. terimakasih.",1,-1
feac97da-c121-41c9-baa8-c0729f8d12d7,2022-11-30 18:11:29,X-AKL3.19.MUHAMMAD KHRESNA BIJAK,"Aplikasi kurang memuaskan, tiba-tiba melog-outkan saya dari aplikasi tanpa alasan yg jelas padahal ada uang di aplikasi tsb. Saat saya loginkan kembali tidak bisa karena nomornya sudah mati tetapi ada gmail yg tertaut, malah dari aplikasinya menganggap gmailnya tidak tertaut. Aneh, padahal di gmail saya ada bukti-bukti kalau tertaut dengan gojek. Mengecewakan.",1,-1
7e76d3fd-7e71-4fbe-8d79-ebe05f9f416c,2022-11-29 02:21:46,Hafizgasta,"Pesan go food, tertera dilayar server sedang sibuk, terus saldo kartu kredit saya malah berkurang.. padahal terbatalkan otomatis oleh aplikasi. Langsung terukurang 2kali loh, gimana ini.. kok ada masalah terus dalam aplikasinya. sudah menahan lapar, pesanan batal. eh uangnya ilang juga.. tolong di perbaiki lagi aplikasi sistem ini.",1,-1
94067ac0-04a7-4da5-bbf3-fd0b7b542c23,2022-11-29 21:10:40,Laksamana Ecoo,"Untuk perubahan gopay later nya pakai privy, jadi semakin rumit dan lambat sekali, transaksi otp sudah terima saat sudah dimasukkan keterangannya salah. Padahal otp sesuai. Jadi ribet gopaylaternya ga bisa dipake. Payah",1,-1
d32d405c-d4b6-4c15-955e-0198f0e27cc1,2022-11-22 16:59:43,Eva Yuniar,"Sering dapet driver yang udah hampir nyampe ke restonya.. tiba2 ganti driver yg makin jauh.. ini aplikasinya knpaa?? Tolong diperbaiki lagi.. sistemnya emng udh bagus di bagian driver yg ga gerak di maps,, langsung diganti.. tapi kalo driver nya udh gerak dan mau nyampe resto, trs diganti sih mksdnya apaa??.. makan waktu pas jam istirahat kerja saya.",1,-1
1511ee12-f3f7-4cfa-8cc8-7949e21562a7,2022-11-08 16:11:31,Dwi Febri Anti,"Layanan gojek sekarang mengecewakan. Lebih baik versi sebelumnya. Versi terbaru tidak konmpatibel dengan perangkat saya jadi sering gelag. Sering kali kalau mau pesan go ride nggak bisa pin point, gofood juga sekarang cuma bisa pakai satu promo. Mau downgrate nggak bisa. Hubungi customer servis sama sekali tidak membantu.",1,-1
a65ceddc-6f4a-46ab-8e96-2bd2ddce735a,2022-10-15 00:03:46,Yosua Franklin Hoke,"Jujur tampilan aplikasi penumpang sangat jelek. kenapa? Karena sulit (tidak mudah) mengisi lokasi penjemputan dan tujuan. Langkah-langkah memesan tidak sebaik awal, system aplikasi gojek sekarang sangat menjengkelkan. Penumpang di minta terus beradaptasi dengan pembaharuan padahal cara pemesanan lebih mudah seperti dulu. Saya berulangkali harus menentukan titik lokasi penjemputan secara manual maupun auto, map tidak bisa dipencet untuk di tentukan. Fitur alamat yang di save tidak jelas.",1,-1
171dcabb-9088-4936-888c-1e6ab6cd60c0,2022-10-07 18:14:27,MPA dji,"Jalur yg di pilih ke tmpat tujuan selalu jalanan yang buruk oleh server, padahal ada jalur yg lbh baik dan tdk sejauh itu... Satu lagi di andro tidak bs lihat detail driver nya sdh brpa lama bekerja. Belum lagi sekarang banyak driver yang menolak mengantarkan dan server bisa menaikan tarif berkali lipat dengan alasan sibuk padahal cuma selang beberapa detik. Sangat memaklumi kok kan aplikasi dalam negeri ya kan ya.",1,-1
35db07e3-5b74-4157-a33d-3837a7a04255,2022-11-27 04:48:26,Alpius Ada',"Ini aplikasi kalau pesenin gojek di pulau atau provinsi lain kok susah sekali input alamatnya. Selalu tidak terdeteksi, jadi harus cari titik lewat maps terus. Kan rempong dan jadinya bisa saja salah titik.",1,-1
d30a23d0-5dec-4f82-ad1b-8f802b5197ff,2022-11-04 18:18:19,Khairunisa,"sekarang pakai gofood promonya hanya bisa pilih satu. Padahal dulu bisa pilih 1 voucher ekslusif + voucher toko. Kecewa sih, sekarang jadi lebih mikir mau pesan gofood atau engga. Akhirnya lebih milih lapak sebelah :) tolong kembalikan metode voucher bisa digunakan 2 sekaligus :)",1,-1
763f688d-4227-4a4d-a259-ae66c312905c,2022-11-22 16:20:27,Desta Ze,"Kasih promo lewat voucher berlangganan (baca: beli), tidak bisa digunakan, begitu komplain ke CS jawabanya tidak memenuhi syarat yang berlaku, padahal juga syarat dan ketentuan sudah terpenuhi semua. PHP berkedok IT bisa dikenakan pasal penipuan ga sih, sini beli voucher juga pakai uang loh,, eh gopay maksudnya. Pantes sahamnya ambles truss. Kualat.",1,-1
18b11034-8f74-475f-a68d-38e7df6eb6bb,2022-11-16 19:37:03,Yana Suryana,"Saya tadi habis pesan Gojek, terus di aplikasi maps nya error. Jam penjemputan pun gak berjalan. Jarak yang 12km bisa ditempuh hanya dalam 4 menit? Kemudian saya ingin melaporkan bug tersebut di menu laporan, tapi malah dialihkan ke Chatbot yang gak ada opsi laporkan kesalahan aplikasi. Saya bukan tipe yg suka laporin masalah via email, kalau ada aplikasi kenapa harus via email? Di aplikasi aja sih laporan bug nya biar user gak kemana-mana.",1,-1
a8f39780-aea1-4040-bebf-e33d2321e959,2022-11-24 23:29:21,ady fitrah,"Pembayaran via go-pay sangat merugikan pengemudi, jika penumpang melakukan pembayaran non tunai sementara si driver itu berada di jalanan pastinya butuh dana tunai untuk keperluan pribadi ataupun kendaraan. Mereka berharap top up saldo yang sudah jadi non tunai dijadikan tunai bukan kembali menjadi non tunai. Lihat aplikasi tolong untuk pembayaran via go-pay cukup untuk makanan dan pengiriman barang",1,-1
4aa7ee11-7f99-4230-8ccd-dcf09756dfe9,2022-11-19 10:17:44,Riska Riyanti,"Makin aneh ya gojek, sekarang kalau order gofood gak bisa pake 2 voucher berbarengan. Selain itu level2 bos, juragan tuh gak ada manfaat, katanya manfaatnya inilah, itulah. Eh taunya voucher aja kalau persyaratan semisal harus order 40rb, pembayaran pake gopay, tetep aja gak bisa dipake, padahal udah sesuai ketentuan. Heran!!!",1,-1
211f9298-9232-47e2-beb6-a1a016c86b46,2022-11-10 12:56:13,Susiah,"Makin parah asli,jarang dapet voucher udah gitu sekarang gak bisa gabung promo diskon resto dan voucher gofood. Promo nya juga kecil gak kaya dulu juga biaya layanan dan ongkir mahal,harga menu nya juga mahal padahal rasanya banyak yang biasa aja dan gak sesuai harapan.",1,-1
